<p>Capability maturity</p>
,"Purpose","eLit","ICMS","iFAMS","CJTS"
"Payment",,"uses CL's gateway and payment collection services, HC mentioned ongoing problems with this.","largely aligned around online payments (mostly eNETS), offline payments (machines, service bureau, PayNow), and record keeping in IFAS. IFAS is set to onboard more payment-related capabilities going forward"
,,"Fee structure is not aligned across the systems. Additionally, certain CMSs have unique requirements: eLit is using a subscription model for law firms, and iCMS uses IFAS for bail and fine collection. This is less a feasibility/technical concern than a business alignment, but re-development would benefit from a harmonised fee structure and clear system responsibilities (e.g. whether CMS or IFAS provide access to the payment gateway, or where fees are defined)."
"Calendaring","Scheduling of hearings, based on availability of rooms and personnel","separately implemented in each system; insufficient sync across systems, requiring manual background processes to resolve conflicts; shared/common data like rooms, quotas, and court holidays are manually entered into the separate systems"
"Notifications","Inform parties about upcoming hearings or to request additional information/changes","Overall, the approach is fairly aligned. CMSs are mostly relying on in-app inboxes. Some notifications are sent via email and SMS. Redundant use of multiple SGTS SMS and mail gateways (internal vs external users); not an area of concern/urgency."
"Broadcast & document sync","Synchronisation of case information and document pages across parties in the court room, with one party navigating and others following","no such feature","only system to implement this feature. users report occasional instability","no such feature"
"Archival",,"largely absent except for in access to SCRIMS cases in ICMS; large number and size of files hosted on fast-access storage (DBs, S3) leads to high storage costs"
"Search",,"iCMS and iFAMS report their search largely meets user requirements, eLit search functionality is apparently little used as it does not work well.  Overall: much information hidden in unstructured data (files); no search index across all cases (i.e. all CMSs); only keyword search, no semantic search; does not only internal but also external users (cause book search)"
"Document management","Upload & editing; file number/size/format limits; in-app preview; pre-processing (e.g. OCR, RAG)   Can be an enabler of other capabilities like search, archival, or broadcast","large files (100s MB per file) cause high storage costs (e.g. eLit DB: 100s of TB); transfer between FE and BE systems causes delays during case filing","low file size limit forces users to split documents; cases with many charges (and hence files, e.g. ICMS up to 1000 charges) lead to performance impacts during intake; some (insufficient) OCR capability","low file size limit forces users to split documents;","currently no in-app preview; plans to build multi-media preview platform to tackle cases with large file numbers"
,,"no multi-media support (work-around of embedding inside pdf or docx, otherwise users need to mail in/drop-off physical storage that has to be accessed during the hearing) CJTS plans to introduce multi-media in-app preview functionality"
"Templates","Central management of templates for generating documents to align style and wording without code changes","disparate implementation in systems leads to differences in look and feel; templates for notices, letters, and courts orders are not standardised and not centrally managed. The systems also do not offer comprehensive ways to adjust the templates (mentioned as a key pain point)."
"Input forms","Central management of forms for data input to align style and wording without code changes","disparate implementation in systems leads to differences in look and feel; changes to the forms are difficult (especially when configured by source code) most frequently mentioned: intake forms (require simplification) and minute sheets (tailored to specific user groups, require cross-court alignment)"
"Workflow & tasks","Assignment of tasks to users to record information throughout the case lifecycle (intake to judgement)",,,"There is workflow and task assignment features"
"Reporting & statistics","Standard reports as self-service in the app, dashboards for operational overview, data access and tooling for ad-hoc statistical purposes","inconsistent coverage of self-service across systems; many inquiries require manual database queries by the vendor; no single data platform and various tools/strategies being used across the systems"
"User management & authorization","JC users, agency users, external users (law firm and lawyer profiles, media, mediators)","SingPass/CorpPass + WOG AD + CAM. Manual user accounts for CJTSPass"
,,"implements practicing cert filing, sends PC info to iFAMS",,"agency users use Singpass/Corppass, not WOG AD","management of public users without SingPass (CJTS pass)"
,,"Each system defines its own roles and access matrix. As users often work with multiple systems, a unified authorisation methods can reduce manual overhead and consolidate the implementation of automated workflows (e.g. CAM integration)"
